date,score,active_calories,steps,equivalent_walking_distance
2026-01-01,77,574,11062,9626
2026-01-02,70,897,10940,13407
2026-01-03,71,275,1172,4456
2026-01-04,79,1152,8918,17468
2026-01-05,74,176,2375,2499
2026-01-06,78,395,2106,5980
2026-01-07,75,718,8142,9707
2026-01-08,76,187,2317,2579
2026-01-09,76,169,1664,2299
2026-01-10,79,761,2448,11127
2026-01-11,71,443,2216,6871
2026-01-12,69,158,1697,2170
2026-01-13,67,161,2223,1811
2026-01-14,61,188,2045,2195
2026-01-15,59,185,2198,2115
2026-01-16,60,444,2276,7870
2026-01-17,59,450,5104,6623
2026-01-18,66,975,2063,14551
2026-01-19,67,359,3943,4696
2026-01-20,64,214,3266,2625
2026-01-21,69,429,2064,6652
2026-01-22,70,258,3418,3445
2026-01-23,70,393,2439,5734
2026-01-24,72,844,3891,12079
2026-01-25,71,296,3290,4391
2026-01-26,69,151,2549,1724
2026-01-27,69,269,3591,3568
2026-01-28,70,770,4571,11289
2026-01-29,69,183,3014,2281
2026-01-30,65,279,3609,3650
2026-01-31,61,279,4997,4168
2026-02-01,66,481,7303,7772
2026-02-02,64,243,3266,3182
2026-02-03,58,268,3593,3778
2026-02-04,64,495,8145,7936
2026-02-05,60,217,2655,3090
2026-02-06,61,403,7131,6349
2026-02-07,69,523,6891,8564
2026-02-08,71,831,4364,12182
2026-02-09,74,716,3791,10088
2026-02-10,66,446,3511,6319
2026-02-11,70,539,4751,7270
2026-02-12,70,392,3736,5755
2026-02-13,69,239,4240,3216
2026-02-14,73,449,3009,7128
2026-02-15,72,891,5516,13848
2026-02-16,72,261,986,4061
2026-02-17,70,203,2655,2519
2026-02-18,72,1002,2454,14354
2026-02-19,65,350,1932,5298
