trip_id,departure_date,return_date,destination_city,destination_country,purpose,duration_days,total_miles,flight_count
2025-001,2025-12-07,2025-12-13,São Paulo,Brazil,work,6,13332,4
2026-002,2026-01-31,2026-02-07,São Paulo,Brazil,work,7,13251,4
